symbol,date,open,high,low,close,volume,turnover
BNL,2025/06/26,"15,430.00","15,430.00","15,430.00","15,430.00",10,"154,300.00"
BNT,2025/06/29,"12,210.00","12,440.00","12,202.50","12,210.30",110,"1,352,558.00"
BNT,2025/06/26,"12,301.20","12,400.00","12,290.00","12,294.24",434,"5,340,646.00"
BNT,2025/06/25,"12,549.00","12,700.00","12,328.40","12,366.66",361,"4,481,979.60"
BOKD86,2025/06/29,"1,070.00","1,070.00","1,070.00","1,070.00",50,"53,500.00"
BPCL,2025/06/29,844.90,845.00,812.50,814.85,"424,047","349,962,132.80"
BPCL,2025/06/26,830.00,878.00,830.00,840.32,"728,605","625,231,175.70"
BPCL,2025/06/25,805.00,849.60,795.00,844.14,"654,290","539,457,326.40"
C30MF,2025/06/29,9.80,10.01,9.80,10.01,"19,300","192,948.00"
CBBL,2025/06/29,881.88,899.30,881.88,893.50,"12,448","11,076,142.80"
CBBL,2025/06/26,879.00,885.00,879.00,881.88,"25,225","22,220,024.50"
CBBL,2025/06/25,880.00,898.50,866.20,879.11,"10,546","9,300,470.00"
CBLD88,2025/06/29,"1,135.00","1,178.00","1,135.00","1,178.00",175,"206,129.70"
CBLD88,2025/06/26,"1,117.50","1,135.00","1,117.00","1,135.00",48,"54,062.00"
CBLD88,2025/06/25,"1,135.00","1,135.00","1,135.00","1,135.00",50,"56,750.00"
CFCL,2025/06/29,505.00,505.00,495.00,498.48,"8,270","4,112,664.00"
CFCL,2025/06/26,506.00,509.00,495.00,498.18,"19,084","9,542,308.70"
CFCL,2025/06/25,502.47,509.00,502.10,504.85,"6,466","3,263,110.10"
CGH,2025/06/29,972.00,972.00,940.00,950.84,"141,634","135,465,364.50"
CGH,2025/06/26,995.00,"1,000.00",961.00,966.00,"55,944","54,924,209.40"
CGH,2025/06/25,955.00,"1,000.00",941.00,994.90,"181,945","175,042,000.90"
CHCL,2025/06/29,545.00,551.00,538.50,546.67,"185,970","101,075,046.90"
CHCL,2025/06/26,547.00,558.90,541.00,541.78,"284,064","156,738,541.10"
CHCL,2025/06/25,536.00,550.00,533.00,545.68,"202,235","110,053,654.20"
CHDC,2025/06/29,"2,600.00","2,620.00","2,541.50","2,550.24","32,959","84,404,033.60"
CHDC,2025/06/26,"2,620.00","2,648.50","2,559.00","2,572.29","39,107","101,625,445.60"
CHDC,2025/06/25,"2,600.00","2,659.00","2,566.00","2,614.64","53,087","139,382,180.50"
CHL,2025/06/29,337.00,346.00,333.00,343.90,"122,306","41,621,117.40"
CHL,2025/06/26,330.00,346.40,329.00,337.99,"168,178","57,121,927.60"
CHL,2025/06/25,313.00,333.00,307.10,326.49,"178,130","57,075,358.30"
CIT,2025/06/29,"1,877.39","1,898.00","1,869.00","1,892.92","9,924","18,627,549.00"
CIT,2025/06/26,"1,880.00","1,890.00","1,876.00","1,877.39","6,523","12,269,552.90"
CIT,2025/06/25,"1,882.00","1,884.00","1,871.00","1,879.07","5,216","9,798,282.70"
CITY,2025/06/29,826.00,829.80,819.00,821.70,"3,903","3,208,314.00"
CITY,2025/06/26,825.50,834.90,820.00,820.95,"4,855","3,992,936.50"
CITY,2025/06/25,821.30,835.00,821.10,828.94,"3,284","2,718,884.30"
CKHL,2025/06/29,623.00,638.10,601.20,630.66,"12,822","7,861,749.90"
CKHL,2025/06/26,618.10,643.70,610.30,613.43,"7,671","4,740,561.70"
CKHL,2025/06/25,602.00,635.00,602.00,608.36,"2,658","1,623,297.80"
CLI,2025/06/29,451.00,459.00,450.00,458.02,"22,371","10,137,666.30"
CLI,2025/06/26,450.00,454.00,449.10,450.47,"25,389","11,448,083.30"
CLI,2025/06/25,450.50,454.00,450.00,450.26,"15,156","6,834,209.40"
CMF2,2025/06/29,9.33,9.82,9.33,9.80,"26,200","256,504.00"
CMF2,2025/06/26,9.31,9.45,9.31,9.45,200,"1,876.00"
CMF2,2025/06/25,9.47,9.47,9.46,9.46,"2,100","19,886.00"
CORBL,2025/06/29,"2,310.00","2,375.00","2,277.80","2,366.39","8,331","19,492,599.10"
CORBL,2025/06/26,"2,175.00","2,300.00","2,131.50","2,264.77","6,286","13,879,379.30"
CORBL,2025/06/25,"2,106.20","2,192.10","2,096.20","2,132.55","1,771","3,767,871.50"
CREST,2025/06/29,"1,375.00","1,396.00","1,351.00","1,369.68","16,424","22,415,316.60"
CREST,2025/06/26,"1,482.70","1,482.70","1,391.60","1,397.79","23,027","32,653,376.30"
CREST,2025/06/25,"1,345.00","1,484.00","1,345.00","1,453.69","33,763","48,684,853.70"
CYCL,2025/06/29,"1,603.00","1,607.00","1,571.00","1,600.83","7,741","12,319,707.50"
CYCL,2025/06/26,"1,575.00","1,600.00","1,571.00","1,573.19","2,415","3,812,820.10"
CYCL,2025/06/25,"1,624.00","1,693.00","1,565.00","1,578.01","4,616","7,321,140.60"
CZBIL,2025/06/29,202.00,208.90,200.10,207.98,"58,635","12,014,539.10"
CZBIL,2025/06/26,203.10,204.00,201.90,201.99,"23,650","4,790,614.80"
CZBIL,2025/06/25,205.40,205.50,201.50,203.55,"25,872","5,247,544.60"
DDBL,2025/06/29,776.00,800.70,776.00,798.99,"12,277","9,747,386.30"
DDBL,2025/06/26,780.10,780.10,775.50,778.71,"5,235","4,072,442.50"
DDBL,2025/06/25,781.00,788.00,775.00,780.10,"5,396","4,202,817.50"
DHPL,2025/06/29,333.00,336.00,327.90,330.38,"13,984","4,616,231.70"
DHPL,2025/06/26,344.90,344.90,332.00,333.01,"13,144","4,403,770.90"
